example_portuguese_sentence,example_libras_sentence
invente qualquer palavra que comece com a letra a.,você inventar qualquer palavra começar a.
você gosta de abacate com leite?,você gostar abacate leite junto?
"hoje tomei suco de abacaxi, ele estava ácido.",hoje suco abacaxi beber ácido.
"se você quer abafar seu quarto, é melhor fechar tudo.",si você querer quarto seu abafar ar? melhor fechar tudo.
"não é no primeiro apartamento abaixo, é no segundo.",apartamento primeiro não segundo abaixo.
os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,surdo abaixo assinado pedir governo emprego mais.
a lâmpada do abajur queimou.,abajur lâmpada queimar .
está vendo aquela velha se abanando? ela é avó da minha amiga.,"olhar velho abanar leque lá, vovo amigo meu"
o carro velho foi abandonado naquela garagem.,aquele caragem carro velho abandonar.
coitada dessa criança tão bonita dormindo na rua. como seus pais tiveram coragem de abandoná-la?!,criança bonito dormir rua coitado! pai mãe dele abandonar coragem?!
ontem o metrô estava abarrotado de gente.,ontem metrô pessoa muito abarrotado pessoacheio
"ele é rico, abastado.",ele rico abastado.
a família consolou a viúva que estava abatida.,família consolar mulher viúvo abatido
você pode fazer abatimento dos gastos hospitalares no imposto de renda.,hospital gastar você imposto renda abatimento poder.
o coronel abdicou de tornar-se major do exército.,homem aquele coronel abdicar major exercito.
o médico me mandou tirar raio-x do abdômen.,médico mandar raiox abdômen.
o mel de abelha é bom contra a tosse.,mel abelha bom tosse.
eu orei a deus para abençoar minha vida.,eu orar deus abençoar vida bem.
"no final do culto, o pastor abençoou a todos.",fim culto pastor abençoar todos.
ontem você deixou a porta da sala aberta.,ontem você casa porta aberto deixar sala.
o curso de computação vai estar aberto no sábado.,curso computador ter aberto sábado.
"a abertura do seminário do mec, na semana passada, foi ótima!",semana passado abertura seminário mec ótimo!
"estou abismado, que casa tão grande e tão bonita!",abismado casa grande muito bonito muito!
"eu já comi doce de abóbora, é gostoso!",doce abóbora comer já gostoso!
eu nunca comi abóbora verde.,verde abóbora eu comer nunca.
hoje não encontrei abobrinha na feira.,hoje feira procurar encontrar não abobrinha.
o jacaré abocanhou a cobra.,jacaré cobra abocanhar.
"antigamente os escravos negros sofriam. mais tarde, conseguiram a abolição da escravatura.",antigamente negro sofrer escravo abolição conseguir.
meu chefe abonou minha falta e amanhã vou ter folga.,falta chefe abonar. amanhã folgar.
"no banerj não tem abono, só paga o salário.",banco banerj ter não abono só salário.
não vale a pena se aborrecer.,aborrecer bom não.
ontem roubaram meu cachorro e eu fiquei muito aborrecido.,ontem roubar meu cachorro aborrecido muito.
"no brasil, a mulher grávida só pode abortar em caso de problema de saúde.",brasil mulher grávida poder abortar só problema saúde.
"minha esposa caiu e abortou; fiquei triste, porque queria um filho.",esposa minha pessoa cair chão abortar eu triste querer filho.
a igreja proibe o aborto.,aborto igreja proibir.
você se esqueceu de abotoar a camisa do seu filho!,camisa seu filho abotoar esquecer!
eu sei fazer abracadabra e transformar um ovo em pinto!,eu saber ovo abracadabra transformar pinto.
ela abraçou o seu filho.,ela abraçar filho delo.
diga a sua esposa que mandei um abraço.,falar abraço esposo seu
um bom abraço é gostoso.,abraço bom gostoso.
você fará a palestra no congresso de amanhã? precisa abreviar.,amanhã congresso você palestra? precisar abreviar.
eu abri a lata de tomate e ele estava podre.,eu abridor de lata abrir tomate podre.
fui convidada pela empresa arno para assistir ao lançamento do novo abridor de latas automático.,empresa arno convidar assistir lançamento abridor de lata novo automático.
meu cunhado construir um teto para abrigar o carro.,meu cunhado construir teto carro veículo abrigar.
"nós dois vamos procurar um abrigo, pois vai chover forte.",vai chover forte nós dois procurar abrigo.
eu nasci no mês de abril.,eu nascer abril.
eu abri a garrafa e bebi a água muito gelada.,eu abrir garrafa água beber gelado muito.
"por favor, abra a janela da sala!",favor janela sala abrir!
não consigo abrir esta porta!,porta esto conseguir não abrir!
não abra esta tampa porque está enferrujada!,tampa abrir não evitar enferrujado!
"cinco horas depois da operação do coração, mauro abriu os olhos.",mauro coração peito operar hora 5 depois abrir olho.
o juiz absolveu o ladrão por falta de provas.,faltar prova ladrão juiz absolver.
eu vou à farmácia comprar um absorvente higiênico.,eu comprar absorvente higiênico farmácia.
"tem muita água no chão, pegue uma esponja para absorver.",chão água esparramar! pegar esponja absorver.
não consegui absorver a aula de história.,aula historia absorver conseguir não.
meu tio resolveu abster-se de doces para emagrecer.,tio meu emagrecer doce abster.
"o governo cobra iptu alto, que absurdo!",governo iptu cobrar absurdo muito!
"ele é muito abusado, não tem educação.",ele abusado educação ter não.
ele abusa de você!,ele abusar você!
já acabei o texto e estou aliviado.,texto preparar acabar aliviado.
"a novela acabou e, agora, vou dormir.tchau!",novela acabar eu ir dormir tchau.
"a aula já acabou, pode ir para casa.",aula acabar poder ir casa.
a água acabou. é preciso comprar novamente.,águar acabar precisar comprar outravez.
eu bebo um copo cheio de suco de açaí. é forte e saudável.,açaí beber corpo inteiro forte saúde.
o bebê estava chorando e eu o acalantei.,bebê chorar continua tive eu acalentar.
eu tomo remédio para me acalmar.,eu tomar remédio acalmar.
"é bom você se acalmar, você estudou muito!",você bom acalmar! você estudar muito!
eu vi que na barra tem muitos lugares bonitos para acampamento.,eu ver já barra ter acampamento bonito.
"eu não quero acampar aqui, é perigoso. melhor outro lugar.",acampar eu aqui querer não perigoso melhor outro.
meu irmão é muito acanhado.,meou irmão acanhado muito.
eu gosto de acariciar o bebê.,eu gostar acariciar bebê.
meu cachorro e a cadela dele vão ficar juntos para acasalar.,cachorro meu dele junto amanhã acasalar.
eu acatei o que o professor me aconselhou.,eu acatar professora conselhos.
você recebeu o salário em dinheiro? acautele-se e esconda-o no sapato.,você receber já sálario dinheiro? olhar já esconder sapato.
hoje meu amigo me convidou para jantar e eu aceitei.,amigo convidar jantar hoje eu aceitar.
"ontem o motorista do ônibus acelerou tanto, que eu quase caí.",ontem ônibus motorista acelerar eu quase cair.
"o chefe não gosta que o trabalho atrase, você precisa trabalhar e acelerar sua produção.","chefe gostar não trabalho atrasar, você precisar produção acelerar trabalhar."
"uma linda mulher passou e acenou, eu fiquei louco.",mulher linda muito andar acenar eu louco!
"por favor, não acenda o farol do carro.",favor acender farol carro não.
não consigo acender o cigarro com esse isqueiro!,cigarro isqueiro acender conseguir não!
"por favor, acenda a luz do meu quarto.",por favor quarto meu acender luz.
você acendeu a vela com o fósforo?,você fósforo acender vela já?
você esqueceu de colocar o acento circunflexo na palavra você.,você esquecer voce ^ não.
você não colocou acento agudo em vovo,você colocarnão vovo ´.
"anteontem, na favela, a polícia acercou-se e prendeu quatro ladrões. um fugiu.",anteontem favela polícia acercar ladrão 4 prender 1 fugir.
uma bala de revólver acertou a cabeça do menino.,menino pequeno acertar testa balar evolver.
eu acertei tudo na prova de matemática.,matematica prova eu resposta tudo.
deixe a luz permanecer acesa durante toda a madrugada.,luz permanecer deixar aceso madrugada toda ok!
essa sala dá acesso para o computador?,essa sala computador acesso?
é proibido o acesso das crianças à reunião.,reunião proibido criança acesso.
terça-feira passada eu estava procurando um armário e achei um pele preço de 50 reais.,terça passado eu procurar achar armário preço 50.
"domingo, dia 16, vasco e flamengo vão competir. eu acho, com certeza, que o vasco vai ser campeão.",domingo dia 16 vasco flamengo competir eu achar certeza vasco campeão.
"ontem, no futebol, a bola que chutei com força bateu, por acidente, no rosto do meu amigo.",ontem eu futebol acidente bola forte chutar amigo meu bater rosto.
"ontem, um colega de trabalho teve acidente de carro.",colega trabalho carro acidente ontem.
a lâmpada acima da prateleira queimou.,lâmpada queimar prateleira acima.
"se o freio estiver com problema, é perigoso o carro no aclive.","si freio problema, carro aclive perigoso."
aquele homem tem muita acne no rosto.,homem aquele muito acne rosto.
"a janela da minha casa é de aço, difícil de quebrar.",casa meu janela aço difícil de quebrar
aquele homem açoitou o cavalo para que acelerasse.,aquele homem açoitar cavalo acelerar.
meu açoite está velho.,açoite meu velho.
ele é preguiçoso e sempre fica acomodado sem fazer nada.,ele acomodado sempre fazer nada preguiçoso.
"ajude-me na obra da casa, ontem você já se acomodou muito. hoje, por favor, me ajude!","ajudar meu casa obra você ontem acomodar muito já. por favor, hoje ajudar."
você vai ao cinema sozinho ou acompanhado?,você cinema ir sozinho ou acompanhado?
"tenho medo de andar sozinha na rua, você me acompanha até o ponto do ônibus?",rua sozinho eu medo acompanhar ponto ônibus?
"durante a excursão, acampanhe o carro do professor.",excursão você veículo acompanhar professor.
"achei um bebê em uma cesta de lixo, na rua. coitadinho, eu o peguei e aconcheguei em meu colo.",rua eu achar bebê lixo cesta. pegar aconchegarc olo coitado.
eu aconselhei meu filho a parar de mentir.,filho aconselhar parar mentir.
"o que aconteceu, ele está com febre?",ele acontecer febre?
o que aconteceu?,acontecer?
hoje tinha um sol bonito e agora chove forte. o que aconteceu?,hoje sol bonito agora chuva muito acontecer?
o negócio da compra do apartamento já foi acordado entre vocês dois?,apartamento negócio comprar vocês dois acordado já?
a que horas você acorda todos os dias?,acordar você hora todos dia?
a que horas você acorda todos os dias?,acordar você hora todos dia?
eles já acordaram sobre a venda do carro.,eles carro vender acordar já.
fiquei muito contente porque o meu tio me presenteou com um acordeão.,eu contente tio meu presentear acordeão.
a feneis e o mec fizeram um acordo para pressionar o governo a aprovar o projeto-lei para oficialização da libras.,feneis mec combinar acordo pressionar governo aprovar projeto lei libras.
precisa acorrentar esse cachorro bravo.,cachorro bravo precisar acorrentar.
"não tenho medo de andar de avião, estou acostumado.",avião ter não medo eu acostumado.
eu acostumei meu cachorro ficar em casa sozinho.,cachorro acostumar ficar casa sozinho.
"no jogo de futebol, ronaldo acotovelou o goleiro.",futebol ronaldo acotovelar goleiro.
li no jornal que a promoção do açougue é só hoje.,jornal eu ler carne vender promoção só hoje.
"o acre é longe, a viagem de avião leva mais ou menos quatro horas.",acre longe avião voar mais oumenor quatro horas.
meu sobrinho falou que comprou um carro e eu não acreditei.,meu sobrinho falar já comprar carro eu acreditar não.
"por favor, acrescente mais açúcar ao leite.","por favor, leite açúcar mais acrescentar."
fui ao circo e gostei da acrobata que dança muito bem.,eu ir circo gostar pessoa andar coisa fina dançar bem.
"ontem, no circo, vimos a acrobata dando um salto mortal.",circo ontem nós ver pessoa balançar perigoso salto.
"estava certo eu ir à sua casa, mas encontrei seus cinco cães bravos. acuado, fui embora.",eu certo ir seu casa mas encontrar cão 5 bravo seu eu acuado embora.
meu filho me falou mentira e eu o acuei.,filho meu falar mentira eu acuar.
"aqui no brasil transforma-se a cana em açúcar. lá na europa é diferente, transforma-se a beterraba em açúcar.",brasil aqui cana transformar açúcar lá europa diferente beterraba transformar açúcar.
"a casa dela acumulou muita poeira e sujo, porque não é varrida há uma semana.",casa dele acumular poeira sujo porque não varrer 1 semana.
amanhã irei fazer curso de acupuntura.,eu ir curso acupuntura amanhã.
a polícia me acusou de vender drogas.,polícia acusar vender droga.
o navio está adernando por causa do peso.,navio adernar problema peso.
"o meu adesivo sumiu, quem o pegou?",meu adesivo sumir qum pegar?
"o filme titanic foi ótimo, você viu? a cena da mulher dando um adeus é triste.",filme titanic ontem ótimo mulher adeus triste você ver?
todos os dias a minha filha me dá adeus da janela.,tododia filho janela adeus.
hoje você chegou adiantado para a reunião!,você chegar adiantado reunião hoje!
a diretoria decidiu cancelar e adiar para novembro a reunião de hoje.,reunião hoje diretoria decidir cancelar adiar novembro.
"o suco de laranja está azedo, por favor, adicione mais açúcar.",suco laranja azedo! por favor açúcar mais adicionar colher.
você sabe como adicionar em matemática?,você saber como matemática adicionar?
"um surdo vem à minha casa hoje, sabe quem é? adivinhe?",hoje vir surdo meu casa saber quem adivinhar?
hoje a professora deu aula sobre adjetivos.,professora aula adjetivo hoje.
ele vai ser diretor-adjunto.,ele futuro diretor adjunto.
meu noivo estuda na faculdade de administração.,noivo meu estudar faculdade administração.
eu administro os negócios com o meu pai.,eu administrar trabalhar junto meu pai.
eu estou admirada como você foi falso!,eu admirado você já falso!
todas as pessoas admiraram a coragem dos surdos na passeata a favor do projeto de lei para a oficialização da libras.,ontem pessoa todo admirar surdo coragem passeata lei libras.
amanhã a empresa vai abrir vaga para admissão de candidatos ao emprego.,amanhã empresa abrir vaga pessoa admissão trabalho.
"você admite que errou, fale a verdade!",admitir você falar errado verdade!
a petrobrás tem duas vagas para admitir deficientes.,petrobrás vaga duas deficiente admitir.
não gosto de café com adoçante.,gostarnão café adoçante.
o café está amargo e precisa adoçar.,café amargo precisar adoçar.
"meu filho adoecer hoje, está com gripe",filho meu adoecer hoje gripe.
"meu filho tem três empregos, ele adoidou!","meu filho emprego três, adoidar !"
todos os sábados um grupo de adolescentes adora jogar futebol na praia.,grupo adolescente adorar jogar futebol areia todo sábado.
tenho dois filhos adolescentes.,eu ter dois filho adolescente.
meu gato adora carinho no pescoço.,gato meu adorar carinho pescoço.
os católicos adoram a virgem maria.,católico adorar maria.
meu bebê adormece quando anda de carro.,bebê meu veiculo mover adormecer.
"ele pegou uma criança para adotar, mas em uma semana ela sumiu.",ele pegar adotar menino pequeno 1 semana sumir.
ele é filho adotivo do meu tio.,ele filho adotivo meu tio.
"você adula seu filho, o que é isso, sabe que ele errou!",adular seu filho que isso você saber ele errar!
o adultério pode ser um problema futuro.,adultério futuro poder problema.
"ela não é mais criança, já é adulta.",criança ele não é já adulto.
ontem participei de um culto adventista.,ontem culto adventista eu participar.
vasco e flamengo serão adversários no próximo domingo.,vasco flamengo próximo domingo adversário.
ontem dois surdos brigaram e eu precisei adverti-los para parar.,ontem surdo dois brigar eu advertir parar.
o guarda advertiu o motorista por dirigir embriagado.,motorista embriagado dirigir guarda advertir.
ele é bom advogado.,ele advogado bom.
os horários do aerobarco estão lotados!,aerobarco horário lotado !
o governo brasileiro importou 4 novos aerobarcos do japão.,brasileiro governo importar japão aerobarco 4 novo .
"a aeromoça me tratou bem, eu gostei.",mulher sorridente avião tratar bem eu gostar.
a aeronáutica do brasil é poderosa.,brasil aeronáutica forte.
o aeroporto internacional está fechado por causa do fogo.,aeroporto internacional fechado por causa fogo.
o aerossol para matar mosquito está caro!,aerossol matar mosquito preço caro!
eu vi um aeróstato muito grande!,ver aeróstato grande muito!
senna foi afamado na fórmula 1!,fórmula1 senna afamado!
"ele não trabalha aqui, já foi afastado há muito tempo.",ele trabalhar aqui não já afastado muito tempo.
a sua cidade é afastada da capital.,cidade seu afastado capital.
"ela falou mal de você, agora é melhor afastar-se e acabar com essa amizade.",ele falar mal você agora melhor afastar amizade acabar.
"por favor, afaste os livros daquela mesa, eu preciso sentar e escrever.",favor mesa aquele você afastar livro eu precisar sentar escrever.
eu tenho afeição pele filho dele.,eu afeição filho dele.
falta você aferir se a balança está certa ou errada.,você faltar aferir certo errado balança.
você já aferiu as caixas que chegaram de portugal ?,você aferir caixa portugal chegar já ?
o afeto é bom para a criança se desenvolver com amor.,afeto bom criança amor desenvolver.
uma faca afiada é perigosa.,faca afiado perigoso.
preciso afiar a ponta do meu lápis!,precisar meu lápis afiar ponta!
eu dei muitos presentes ao meu afilhado.,afilhado presente dar muitos.
não tenho afinidade com meu primo.,eu afinidade primo ter não.
você já afivelou a mala?,você mala afivelar já?
afixei um papel na porta do banheiro para avisar que ela está com defeito.,papel afixar avisar porta banheiro defeito.
eu estou aflito por causa da prova de português amanhã.,eu aflito prova português amanhã.
porco adora afocinhar o lixo!,porco afocinhar lixo adorar!
"hoje na praia, vi um homem se afogando na água.",praia hoje eu ver água homem afogar.
"com a compra do novo apartamento, meu primo se afogou em dívidas.",primo meu apartamento novo comprar afogar.
eu emagreci e minha calça afroxou muito.,eu emagrecer calça afrouxar muito.
"você não pode nadar longe na praia, é perigoso, você pode se afundar.",você poder não nadar praia longe perigoso afundar.
"se você for alta e o seu namorado baixo, será obrigada a agachar para beijá-lo.",se você alto seu namorado baixo você obrigado agachar beijar.
"foi perfeito, o goleiro do fluminense pulou e agarrou a bola.",goleiro fluminense perfeito pessoa pular agarrar bola.
eu me agasalhei com um paletó pesado.,eu agasalhar paletó pesado.
você já agendou a reunião? porque não pode se esquecer!,você agendar já reunião? porque esquecer poder não!
"qualquer criança, surda ou ouvinte, é sempre agitada.",criança qualquer surdo ouvinte igual agitado.
"não posso resolver esse problema agora, é melhor deixar para depois.",resolver problema agora poder não melhor depois.
"hoje começam as férias; as aulas, só em agosto!",hoje começar férias aula só agosto!
o dia dos pais é no segundo domingo de agosto.,dia pai segundo domingo agosto é.
"a viagem para o recife foi boa e me agradou. no futuro, irei novamente.",viajar recife agradar bom futuro vou novamente.
eu agredeço a deus por estar bem de saúde,agradecer deus eu bem saúde.
o segurança agrediu o olho do meu sobrinho.,segurança olho agredir olho sobrinho meu.
"aquele professor é mau e agressivo, os alunos têm medo dele.",professor aquele agressivo mau aluno medo dele.
eu não gosto de comer agrião.,"agrião, gostar não comer ."
"a agricultura do brasil é ótima, por causa da terra boa.",lavrar campo brasil ótimo porque aqui terra bom.
você já agrupou os professores para a passeata contra a prefeitura?,você já professor agrupar passeata contra prefeitura.
sente-se e aguarde um pouco.,sentar aguardar esperar pouco.
minas gerais tem muito boa aguardente!,minas gerais aguardente bom muito!
é difícil colocar a linha na agulha.,linha costura agulha colocar difícil.
eu tenho medo de tomar injeção com agulha grande.,eu medo objeto fino pequeno injeção grande.
você agüenta subir até o alto daquela montanha?,você subir montanha até alto aguentar?
eu agüento empurrar o carro.,eu agüentar carro empurrar.
"ela é uma pessoa difícil, mas eu agüento.",ele pessoa difícil mas eu agüentar.
"a aids é perigosa, cuidado com o sexo sem camisinha.",aids perigoso cuidado sexo camisinha sem.
"ainda não terminei de fazer o bolo, estou atrasado!",bolo fazer terminar não. ainda fazer atrasado.
o arroz ainda não está pronto. eu vou fazer,eu arroz ainda não pronto fazer
minha tia fez um bolo de a-i-p-i-m delicioso!,tio meu fazer bolo aipim delicioso!
na igreja eu sempre me ajoelho para rezar a deus.,igreja eu sempre ajoelhar deus rezar.
nós dois vamos te ajudar com as compras da feira.,poder nós dois ajudar comprar feira.
quer que eu te ajude a estudar matemática?,querer ajudar estudar matematica?
precisamos limpar e ajuntar os brinquedos da escola que estão espalhados.,escola brinquedos espalhar precisar ajuntar limpar.
meu cunhado tem uma casa lá em alagoas.,lá alagoas meu cunhado ter casa.
o vestido alaranjado é bonito e combina com as pessoas morenas.,vestido alaranjado bonito combinar pessoa moreno.
meu carro tem alarme.,meu carro ter alarme.
"no mês passado, um vírus novo da gripe se alastrou na escola.",mês passado escola vírus novo gripe alastrar.
o presidente lula falou que conseguiu alcançar a áfrica e conversar com o governo de lá.,presidente lula falar conseguir alcançar áfrica conversar governo lá.
consegui alcançar o chapéu que o vento havia arrancado da minha cabeça.,chapéu vento cabeça arrancar eu alcançar conseguir.
vamos apostar ? ganha uma bala quem alcançar primeiro aquela árvore.,ir apostar? quem primeiro alcançar árvore aquele bala ganhar.
preciso comprar um novo alçapão.,precisar comprar alçapão novo.
nos estados unidos há muitos alces.,estados unidos ter muito alce.
eu ganhei um carro novo e fiquei alegre.,eu alegre ganhar carro novo hoje.
a alegria é boa para a saúde!,alegria boa saúde!
ele está com a alegria na cara.,ele cara alegria.
ele ainda não se operou do tumor da cabeça e por isso está aleijado.,ele tumor cabeça operar ainda aleijar.
eu gostei da música de aleluia cantada na igreja.,ontem lá igreja eu gostar música aleluia.
"hoje é um dia especial, jesus nasceu, aleluia!",hoje dia especial jesus nascer aleluia!
para chegar à universidade você deve ir além da praça vermelha.,chegar universidade você ir praça vermelha além.
a cerveja da alemanha é mais gostosa.,cpp alemanha gostoso mais.
antigamente muitos alemães vieram para o brasil.,antigamente pessoa alemo muito vir brasil.
eu tenho alergia a cheiro de poeira.,eu alergia poeira cheiro.
você não pode comer camarão porque tem alergia.,você poder não comer camarão você alergia.
esteja alerta com as pessoas que andam pelas ruas à noite.,você alerta rua noite pessoa andar!
"você precisa alertar para as motos andando na rua, é perigoso.",você olhar cuidado rua moto mover perigoso.
fique alerta com moto porque ela é perigosa!,olhar já moto perigoso!
o alfabeto tem 23 letras.,alfabeto quantidade 23.
você gosta de alface?,alface você gostar?
eu preciso procurar um bom alfaiate para fazer um terno para o casamento.,eu precisar procurar costurar homem fazer terno casamento.
eu furei meu dedo com um alfinete.,eu furar dedo alfinete.
"antigamente havia alfinete de fralda, agora acabou.",antigo fralda obrigado alfinete agora acabar.
o policial prendeu as mãos do ladrão com algemas.,polícia prender mão algema ladrão.
o brasil vendeu muito algodão para a china.,china algodão brasil vender muito.
tem alguém lá?,todo pessoa ter lá?
veio alguma pessoa?,algum pessoa vir?
virão algumas pessoas hoje?,hoje algum pessoa vir?
vieram para a palestra alguns engenheiros formados.,palestra todo vir algumo formado engenheiro.
feijão com alho fica gostoso!,feijão colocar alho gostoso.
"olhe ali, que arara linda!",ali arara lindo.
a inglaterra é aliada dos estados unidos.,inglaterra aliado eua.
"perdi minha aliança na praia, porque estava larga.",aliança largo eu perder praia.
onde você guardou o alicate?,você guardar alicate onde?
"eu cortava as unhas com o alicate e, por acidente, me machuquei.",eu alicate cortar unha acidente machucar.
você precisa se alimentar bem para evitar adoecer.,você precisar alimentar bem. evitar adoecer.
eu distribui vários alimentos para os pobres.,distribuir pobre comida vários.
qual é a alíquota do imposto de renda?,imposto renda alíquota qual?
eu quero alisar meu cabelo!,eu querer cabelo alisar!
"eu me alistei no exército, mas meu pai não queria.",eu já inscrição admitir exército pai meu querer não.
eu me alistei no campeonato de natação.,eu campeonato natação alistar.
eu estou aliviado porque já consegui emprego.,trabalho conseguir já eu aliviado.
"ontem, eu estava com enxaqueca, tomei comprimido, a cabeça melhorou e aliviou!",ontem eu enxaqueca tomar comprimido cabeça melhor aliviar!
que alívio saber que você passou no vestibular!,saber você passar vestibular eu alívio!
"a alma é eterna, não morre.",alma eterno morrer não.
eu almejo fazer mestrado em educação especial.,eu almejar mestrado educação especial.
"hoje eu almocei no rodízio de churrasco, foi gostoso!",hoje eu almoçar gostoso churrasco rodízio.
"no intervalo da hora do almoço, você faz o quê?",comer hora doze intervalo você fazer oquê?
"no intervalo do horário de almoço, você faz o quê?",almoço hora intervalo você fazer oquê?
na sua cama tem uma boa almofada!,cama seu bom almofada!
é gostoso comer almôndega com macarrão naquele restaurante!,restaurante ali almondega macarrão junto comer gostoso!
o alojamento do quartel é muito grande.,quartel lugar dormir grande muito.
o altar da igreja da penha é antigo.,penha altar igreja antigo.
"você digitou com letra vermelha, altere para preta.",você digitar computador letra vermelho alterar preto.
"você precisa alternar sua dieta, senão enjoa!",dieta enjoar precisar alternar.
eu sinto falta de ar por causa da altitude.,eu faltar ar por causa altitude.
onde está o alto-falante?,onde alto falante?
você já é alto.,você já alto!
a maioria das pessoas que joga basquete é alta.,maioria pessoa basquete todo alto.
ele fala alto.,ele falar alto!
o salário dos juízes é alto.,juiz salário alto.
qual é a altura do armário?,armário altura?
vou alugar a minha casa.,meu casa alugar.
o meu pai recebe aluguel de três casas.,meu pai receber aluguel casa três.
você sabe onde fica a loja que vende e aluga apartamentos?,você saber onde loja casa apartamento venda aluguel ?
"a janela da minha casa é de alumínio, boa e forte.",janela meu casa aluminio bom forte.
todos os alunos do ines são surdos.,ines aluno todo surdo.
o homem atirou a flecha e acertou bem no alvo!,homem atirar flecha acertar alvo perfeito!
"o cachorrinho está fraco e magro, precisa ser amamentado.",filho cachorro pequeno fraco magro precisar amamentar.
amanhã haverá aula de biologia.,amanhã ter aula biologia.
eu trabalho de madrugada e ao amanhecer eu vou embora para casa.,eu trabalhar madrugada amanhecer embora casa.
ele amansou o gato dele.,ele amansar gato delo.
ela tem um amante há cinco anos.,ele ter amante cinco ano.
o amapá fica longe do rio de janeiro.,amapá longe rio de janeiro.
minha esposa me ama muito!,esposo meu amar muito eu.
criança adora brincar de amarelinha todos os dias.,amarelinha criança adorar todo dia brincar.
aquela casa amarela é bonita.,aquele casa amarele bonito.
"detesto o gosto do jiló, é muito amargo!",jilo gosto amargo muito detestar!
minha sobrinha de dois anos já sabe amarrar o tênis.,sobrinho meu idade dois saber amarrar tênis.
"sua roupa está amassada, o que aconteceu?",roupa seu amassado acontecer?
o seu carro está amassado. o que aconteceu? bateu?,carro seu amassado que acontecer? bater?
ontem o carro do meu tio bateu no poste e amassou muito.,ontem tio meu carro bater poste amassar forte muito.
você tem coragem de amassar a barata com o pé?,você coragem barata pé amassar ?
você conhece a lenda da amazona? é excelente!,conhecer lenda mulher cavalgar? excelente!
o mundo cobiça a floresta do amazonas.,mundo cobiça amazonas floresta.
"os estados unidos têm ambição pele brasil, por causa da nossa floresta, rios, montanhas,etc.",usa ambição brasil por causa floresta montanhas rios.
o mecânico do meu pai é ambidestro.,mecãnico meu pai ambidestro .
"ambos estão certos, é melhor ficar em paz.",melhor paz ambos certo.
"ligue rápido para a ambulância, que vovô está passando mal.",vovo mal rápido telefonar ambulância.
o pai ameaçou o filho para falar a verdade.,pai ameaçar filho verdade falar.
"um homem, na rua, ameaçou a mulher para ela dar-lhe a bolsa.",homem rua ameaçar mulher bolsa dar.
"se você for comungar e o padre lhe der a hóstia, responda amém.",si você ir comungar padre hóstia dar responder amém
"ao terminar o culto, o pastor diz amém.",fim culto pastor falar amém.
"amendoim, elefante adora comer!","amendoim, elefante adorar comer."
eu já viajei por todo o continente americano.,eu já viajar américa todo.
cuba fica na américa central.,cuba lugar américa central.
"estados unidos, canadá e méxico são países da américa do norte.",país américa do norte estados unidos canadá méxico.
é melhor a economia da américa do sul se unificar.,americado sul economica unir melhor!
o meu pai é americano mas mora no brasil há trinta anos.,pai americano morar brasil 30 ano.
o divórcio de um casal de atores famosos foi amigável.,casal atores famoso divórcio amigável.
ontem eu e meu amigo fomos comer pizza.,ontem eu amigo comer pizza
por que vocês dois acabaram com uma amizade tão bonita?,vocês dois amizade bonito acabar porque?!
"eu detesto o cheiro de fumaça do cigarro, como ele me amola!",eu detestar cigarro fumaça cheirar amolar!
"a faca está ruim de cortar, por favor, você me ajuda a amolar?",faca cortar ruim ajudar amolar por favor?
