example_portuguese_sentence,example_libras_sentence
ela caiu da escada. que azar!,ele escada pessoacair azar!
"qual é mais azedo, o limão ou a laranja?",qual azedo forte limão laranja?
o azeite português é o melhor do mundo!,azeite portugal dele melhor mundo!
meu filho adora comer azeitona verde.,filho meu adorar comer azeitona.
eu prefiro comprar um carro azul escuro.,eu comprar carro cor preferir azul escuro.
meu nome começa com a letra b.,nome meu começar letra b.
a baba do cachorro é horrível.,baba cachorro horrível.
a babá é ótima e trata bem dos meus filhos.,tomar conta bebê ótimo tratar bem filho meu.
"a babá faltou, estou preocupada.",baba faltar eu preocupado.
ela quer o casaco com babado no pulso.,ele querer casaco babadopulso.
aquele bebê precisa de babador.,bebê aquele precisar babador.
ontem eu vi uma mulher linda e fiquei babando.,ontem eu ver mulher lindo muito eu babar.
hoje vamos ao restaurante só para comer bacalhau.,hoje nós restaurante só comer bacalhau.
na feira de niterói vendem bacalhau muito mais barato.,niteroi lá feira vender peixe bacalhau preço barato.
"por favor, procure a bacia, eu não achei.",favor procurar bacia eu achar não.
as pessoas do maranhão adoram suco de bacuri.,pessoa lá maranhão adorar suco bacuri.
às seis horas da tarde o sino da igreja dá seis badaladas.,hora 6 tarde sino igreja badalada quanto 6.
minha bagagem sumiu no aeroporto.,bagagem meu sumir lá aeroporto.
"minha mãe saiu, meu irmão vai bagunçar.",mãe meu sair irmão meu bagunçar vai.
eu já fui à bahia durante o carnaval.,carnaval eu ir já bahia.
"aquela bailarina é famosa, eu conheço.",bailarino aquele eu conhecer ele famoso.
amanhã à noite eu quero ir ao baile.,amanhã noite eu querer ir baile.
eu vou levar o meu vestido para a costureira fazer a bainha.,vestido meu eu levar mulher costurar bainha.
em que bairro você mora?,você morar bairro qual?
"o preço de televisão baixou, vou comprar logo.",televisão preço baixar eu precisar rápido comprar.
o médico falou que meu filho precisa tomar remédio para crescer porque ele está baixo.,médico falar filho meu precisar tomar remédio crescer porque ele baixo.
aquele menino bajula minha professora de ciências.,menino aquele professor meu ciências bajular.
"a polícia precisa de munição para o tiroteio, pois vai prender os bandidos no morro.",polícia precisar bala revólver vai tiroteio morro bandido.
as crianças adoram bala de uva.,bala uva criança adorar.
a balança do supermercado estava com defeito.,balança lá supermercado defeito.
vovó adora balançar na cadeira e fazer tricô.,vovo adorar balançar cadeira tricotar.
meus sobrinhos querem balançar de gangorra lá na praça.,sobrinho meu querer balançar gangorra lá praça.
"eu sonho ficar deitado, balançando na rede e descansando.",eu sonhar balançar rede descansar.
"todo mês, obrigatoriamente, é feito o balanço na loja.",todo mês loja balanço soma obrigatório.
o balanço do parque da praça está quebrado.,praça parque balanço quebrado.
"para a festa de um ano do meu filho, eu decorei a casa com balões coloridos.",festa meu filho 1 ano balão colorido decorar.
não é bom soltar balão. é perigoso ele cair e provocar incêndio em uma casa.,bom não balão perigoso si cairbalão casa fogo.
amanhã vou com meu filho ao sítio do meu primo para ver o balão.,amanhã eu filho junto ir sitio primo ver balão.
"eu vi esta criança surda balbuciando, que fofinha!",seu filho bebê balbuciar fofo!
eu vi um bebê surdo tentando se comunicar através da língua de sinais. é tão fofinho!,eu ver bebê esto surdo balbuciar fofo!
preciso comprar um balde.,eu comprar balde precisar.
a baldeação daquele metrô demora demais.,lá metrô estação troca demorar muito.
nós dois iremos assistir o balé em copacabana.,nós dois vamos assistir lá balé copacabana.
"ontem eu vi, na televisão, uma baleia morrer.",ontem ver televisão baleia morrer.
eu viajei para amazonas e fui de carro pela balsa.,eu viajar lá amazonas carro veículo balsa.
quando eu era pequena adorava brincar de bambolê todos os dias.,antigamente eu pequeno brincar bambolê tododia.
a criança bamboleia com mais perfeição do que o adulto.,criança bambolear perfeito do que adulto.
vou pegar bambus para fazer barracas para a festa junina.,pegar bambu fazer barraca festa junina.
comer banana é importante para a saúde.,banana comer importante saúde bom.
o namorado dela trabalha em uma banca de jornal que sempre abre cedo.,namorado dele trabalhar banca jornal sempre abrir cedo.
o banco da praça quebrou.,banco sentar lá praça quebrar.
agora eu vou ao banco porque preciso pagar a conta de luz.,agora eu ir banco precisar pagar luz.
minha casa fica perto do banco.,meu casa perto banco.
ele é responsável pela banda.,ele responsável grupo bateria.
onde está o bandaid?,onde bandaid?
a bandeira do brasil tem cores bonitas.,bandeira brasil cores bonito.
minha filha quer ser uma futura bandeirante para ajudar a preservar as árvores e os animais.,filho querer futuro bandeirante ajudar preservar árvores animais.
aquele bandeirinha corre pouco.,bandeirinha aquele correr mole.
você tem uma bandeja de prata ou de madeira?,você ter bandeja prata ou madeira.qual?
o bandido se escondeu naquela casa.,homem bandido esconder lá casa.
"filme antigo de bangue-bangue é muito bom, eu gosto.","filme antigo bangue bangue bom muito, eu gostar."
"aquele homem é um coitado, as pessoas zombam dele por ser banguela.",homem aquele coitado pessoa todo zombar ele banguela.
o sol está forte e eu vou me banhar na lagoa para refrescar.,dia tempo quente eu banhar lagoa frio gostoso.
"na casa da minha mãe tem banheira antiga, que eu adoro.","casa mãe banheira antiga, adorar."
meu apartamento tem três banheiros grandes.,meu apartamento banheiro 3 grande.
você não tomou banho?,você tomarbanho não?
os homens brigaram na boate e o segurança baniu os dois.,ontem lá boate homem os dois brigar dentro homem inspetor banir.
ontem teve banquete delicioso.,ontem comida banquete delicioso.
ontem meus dois amigos brigaram violentamente no bar.,ontem meu amigo 2 beber brigar bar bruto.
eu comprei um baralho luxuoso e caro.,eu comprar baralho caro.
a maioria das mulheres tem pavor de baratas. é assim mesmo.,maioria mulher pavor barata assim.
"melhor comprar roupa na fábrica, é mais barato.",melhor comprar fábrica roupa dinheiro barato.
"lá na feira de niterói, vendem-se peixe e bacalhau bem baratos.",niteroi lá feira vender peixe bacalhau preço barato.
conhece uma loja qualquer que venda barato?,você conhecer loja qualquer vender roupa dinheiro pouco?
eu gosto de homens que têm barba.,"homem barba, gostar."
você tem um barbante? eu preciso amarrar a caixa.,você ter barbante? eu precisar caixa amarrar.
compre um barbeador que o supermercado está vendendo barato.,supermercado barbeador ver dinheiro barato comprar.
onde está o barbeador elétrico?,barbeador eletrico onde?
"não gosto de ir no carro dele, tenho medo, ele é barbeiro.","gostar não carro dele junto medo, ele barbeiro."
aquele homem barbudo é tio dele.,homem barbudo aquele ser tio delo.
"que barca enorme, parece uma casa!",barca enorme parecer casa!
"é divertido pescar do barco, é muito bom!",divertir barco pescar bom!
a academia perto da minha casa tem uma barra de ferro enferrujada.,academia casa perto cilindro comprido ferro enferrujado.
minha esposa adora comer uma barra grande de chocolate.,esposa meu adorar comer barra grande chocolate.
o vento forte levou a barraca na praia.,praia vento forte barraca voar.
hoje de manhã teve engarrafamento por causa da barreiras de obras.,hoje manhã carro engarrafamento por causa barreira obras.
"este modele tem a barriga bonita, estou boquiaberta.",modele homem perfeito barriga eu boqui aberto.
você engordou e agora ficou barrigudo.,você engordar agora barrigudo.
no festival de chopp havia muitos barris de chopp. caramba!,chopp festival barril muito.caramba!
seu filho estava brincando e sua camisa ficou suja de barro.,filho seu brincar sujo camisa barro.
os alunos pequenos são sempre barulhentos.,aluno pequeno sempre bagunça barulhento.
ouvi um barulho estranho no seu carro.,seu carro barulho estranho.
"o basquete da nba, dos estados unidos, tem os salários mais altos do mundo.",estados unidos lá basquete nba famoso.
"você está dizendo bobagens, basta!",você dizer bobagem basta!
o bastão dele sumiu!,bastão dele sumir!
minha avó faz uma batata deliciosa!,batata meu vovo fazer forno delicioso muito!
sua prima não gosta de comer batata doce.,seu primo comer gostar não batata doce.
batata frita é deliciosa! todo mundo come.,batata frita delicioso! todo mundo gostar comer.
"como vou assar o bolo, se minha batedeira quebrou?",eu cozinhar bolo batedeira meu quebrar como
"estranho, eu fiquei tocando à porta, mas minguém foi abri-la!","estranho, porta tocar minguém abrirporta!"
a mãe bateu na criança porque ela foi malcriada.,criança malcriado mãe bater.
todo mundo gosta de bater papo com os amigos.,todo gostar baterpapo amigo.
meu filho quer comprar a bateria.,meu filho querer comprar bateria.
a bateria do carro dela está fraca.,carro dele bateria fraco.
na festa junina do ano passado a batida de coco não foi gostosa.,festajunino ano passado batida coco ruim.
"você viu, ontem, a batida de carro em ipanema?",ontem você ver carro batida local ipanema?
meu amigo me convidou para ir a uma igreja evangélico para ver o batismo dele.,amigo meu convidar igreja evangélica ver batismo delo.
"hoje na igreja, é importante todos participarem do batismo.",hoje igreja batismo todo participar importante.
aquele padre batizou você quando era pequeno.,aquele padre você pequeno ele batizar.
amanhã meu irmão será batizado na igreja.,amanhã meu irmo batizar lá igreja.
você esqueceu o batom lá em casa.,você esquecer batom deixar lá casa.
é proibido batucar na biblioteca!,batucar dentro biblioteca proibido!
no andar de cima da casa há um baú antigo.,casa cima ter baú antigo.
aquele velho bêbado é chato e tagarela.,velho aquele bêbado chato falar muito.
cuidar de um bebê é muita responsabilidade!,bebê cuidar responsabilidade é!
o bebedouro daquela escola estava com defeito.,bebedouro lá casa estudo defeito.
"o filho dele, de dois anos, sabe beber com canudo.",filho dele idade 2 saber beber canudo.
ele gosta de beber cerveja no copo.,criança gostar beber copo sozinho.
"tome cuidado ao beber café, pois está muito quente.",cuidado beberxícara devagar esto quente muito.
"aquele grupo de pessoas se reúne toda sexta-feira para beber no bar, até à madrugada.",pessoa grupo aquele sextafeira todo bar beber madrugada.
o carro gol 1.8 bebe muita gasolina!,carro gol 1.8 gasolina beber muito!
evite essa bebida que tem veneno! cuidado!,cuidado esso beber^város veneno ter evitar!
"o bege é uma cor bonita, a que mais gosto.",cor bonito eu gostar mais bege.
hoje de manhã eu vi o beija-flor voando bonito.,hoje manhã eu ver beijaflor voar rapido.
você já beijou as bochechas da tia?,você beijarbochecha já tia?
"aquele garoto quer beijar, mas não pode.",aquele jovem quer beijar boca intensamente poder não.
aquele homem beija tão intensamente que fico tonta!,homem aquele beijar boca intensamente perfeito eu tonta!
"tchau, mando beijos. depois nos encontramos.",tchau beijarmandar depois encontrar.
o pessoal gosta de assistir beisebol na televisão.,pessoal gostar assistir televisão beisebol.
a fazenda da minha amiga tem a beleza das flores.,fazenda amiga meu flor beleza.
minha família é da bélgica.,familia meu lá bélgica.
"aquela loja está em promoção, vendendo um beliche muito bonito.",loja vender promoção cama beliche bonito.
"eu chorei com dor no braço, pois ele me beliscou forte.",eu chorar dor braço ele beliscar forte.
"a austrália só tem casas belas, eu fiquei boquiaberto.",austrália lá eu boquiaberto casa só belo.
a cidade de bele horizonte tem muitas ladeiras.,cidade bh ladeira muito.
ela caiu. bem feito!,ele cair. bem feito!
você tirou nota zero. bem-feito! você não estudou.,você nota zero. bem feito! você estudar não
"ontem, no museu, eu vi uma escultura muito bem-feita.",ontem museu eu ver escultura bem feito.
"oi, seja bem-vindo! pela primeira vez você me vê feliz.",oi bem vindo! primeiro vez você vir eu feliz.
ontem você chegou bem?,ontem você chegar bem?
a atual diretora da escola trabalha bem.,atual escola diretor tratar bem.
ela é católica e está esperando a benção do padre.,ele esperar padre benção.
esta loja vende bengalas?,loja esto vender bengala?
aquele padre benze muito rápido.,padre aquele benzer rápido.
eu quero doar o berço para uma pessoa pobre.,eu querer doar berço qualquer pessoa pobre.
"amanhã, na feira, não esqueça de comprar berinjela.",amanhã feira esquecer não comprar berinjela.
"eu sempre uso bermuda, por causa do calor.",eu sempre só bermuda por causa calor.
ela usou o vestido verde berrante.,ele vestido cor viva verde.
"não agüento esta criança, que berra a toda hora.",agüentar não esto criança berrar toda hora.
hoje de manhã vi um besouro.,hoje manhã eu ver besouro.
os políticos costumam falar muita besteira.,costumar político falar muito besteira.
a beterraba é boa para a saúde e tem muitas vitaminas.,beterraba bom vitamina saúde.
tenho problema na bexiga.,eu bexiga problema.
ontem o bezerro sumiu.,ontem bezerro sumir.
você tem uma bíblia? pode me emprestá-la?,biblia você ter? semprestar poder?
o estudo precisa de uma boa bibliografia.,estudo precisar bibliografia bom.
"a biblioteca é para ler livros, não pode fazer barulho.",biblioteca enfileirado só ler livro barulho não poder.
eu já fui bicampeão de natação no ano passado.,ano passado eu já campeão duas vezes natação.
este pássaro gosta de bicar demoradamente.,pássaro esto gostar bicar demora.
o bíceps daquele homem tem a bonita tatuagem de um cavalo.,bíceps homem aquele tatuagem cavalo bonito.
as crianças ficam com medo quando o pai brinca e finge que é bicho.,criança medo pai brincar bicho.
essa maçã tem muitos bichos.,maçã esso muito bicho.
deus fez todos os bichos.,deus fazer todo bicho.
aquele homem sempre vai ao jogo do bicho.,homem aquele sempre ir jogar bicho.
"nós adoramos passear, dando voltas de bicicleta.",nós três adorar passear emvolta bicicleta.
o bico do pássaro tem uma cor bonita.,pássaro dele bico cor bonito.
"para o biênio do congresso, é preciso combinar antes e escolher um lugar bom.",congresso biênio combinar antes escolher lugar bom.
minha esposa adora bife acebolado.,esposo meu adorar carne bife junto cebola.
"hoje meu bigode permanece, amanhã eu raspo.",bigode hoje permanecer amanhã eu raspar bigode.
"para este projeto, é preciso pedir verba de dois bilhões.",projeto esto precisar pedir verba 2 bilhão.
eu adoro me divertir jogando bilhar.,bilhar eu ganhar sempre.
"ontem, na escola, encontrei um bilhete em cima da mesa.",ontem escola eu achar bilhete mesa em cima.
aquela mulher está pesquisando sobre bilingüismo.,mulher aquele pesquisar sobre bilinguismo.
você precisa ir ao médico neste bimestre.,você precisar ir médico 2^mes agora.
ontem ela ganhou muito dinheiro no bingo.,ontem bingo ele ganhar dinheiro muito.
"o navio está longe, não consigo vê-lo. você me empresta seu binóculo?",navio longe emprestar seu binóculo?
"a minha nota de biologia foi baixa, está vermelha.",nota meu biologia vermelho fraco.
o biólogo vem amanhã.,homem biologia vir amanhã.
ontem eu vi um biquini lindo no shopping e fiquei com vontade de comprá-lo.,ontem eu ver sp biquini lindo vontade comprar.
o bisavô dele mora no interior de minas gerais.,bisavô dele morar interior minasgerais.
eu não gosto de bisbilhotar a vida das pessoas.,eu gostarnão bisbilhotar vida pessoa cada.
"hoje, muitos brasileiros fazem biscate.",brasileiro muito fazer biscate hoje.
você já comeu o biscoito de sabor banana?,biscoito banana você já comer?
"acabou o pão francês, só tem bisnaga na padaria.",padaria pão pequeno acabar só pão bisnaga ter.
o bispo adoeceu ontem.,homem bispo adoecer ontem.
aquela pessoa é bissexual e é feliz.,pessoa aquele é bissexual ele feliz.
"é perigoso brincar com o bisturí, não pode.",bisturi perigoso brincar poder não.
"as pessoas não podem blasfemar contra deus, precisam respeitá-lo.",pessoa poder não blasfemar deus precisar respeitar.
"por favor, pegue o bloco para mim.",pegar favor bloco.
encontro você no bloco c às três da tarde.,encontrar você lá bloco c hora 3 tarde.
"meu talão de cheque sumiu, vou ligar para o banco e bloquear.",cheque meu sumir ligar banco bloquear.
"aquela loja, anteontem, vendeu uma blusa bonita e barata.",loja aquele anteontem vender blusa bonito barato.
você não vai trabalhar hoje? que boa vida!,hoje você trabalhar nao? boa vida !
sua prova de português foi boa.,prova seu português nota bom.
hoje de manhã eu vi passar uma mulher boa e fiquei babando.,hoje manhã eu ver mulher passar boa eu boquiaberto.
"eu e meus amigos freqüentamos, todos os sábados, uma boate em copacabana.",sábado todo eu amigo sempre freqüentar boate copacabana.
a raiva faz da vingança uma bobagem.,raiva vingar bobagem!
antigamente eu usava muito bóbi.,antigamente eu enrolar bóbi muito.
"você vai ficar bobo e boquiaberto, quando olhar o carro de luxo.",você bobo olhar carro luxo boquiaberto.
você não quer namorar aquela mulher? você é bobo!,mulher aquele você não querer namorar?você bobo!
a boca daquela mulher é bonita e me dá vontade de beijar.,boca mulher aquele bonita vontade beijar.
"todos os dias eu fico bocejando, porque sempre durmo de madrugada.",todo dia eu bocejar porque sempre dormir madrugada.
e bom bochechar com malva para limpar os dentes.,dente limpar malva bochechar bom.
o bebê tem bochechas gordas e fofinhas.,bebê bochecha gordo fofo.
no sítio dele tem muitos bodes.,fazenda dele muito bode.
"se ela mexer com meu namorado, dou-lhe uma bofetada.",se ele mexer meu namorado eu bofetada.
"qual a carne mais gostosa, a de porco, boi ou frango?",mais gostoso carne porco ou boi ou galinha qual?
"quando a criança começa a nadar, é bom que use bóias de braço.",criança começar aprender nadar bom boia braço.
a criança que está aprendendo a nadar deve usar a bóia de cintura.,criança aprender nadar precisar cintura bóia
nos navios é obrigatória a existência de bóias tipo colete.,obrigatório navio ter colete bóia.
eu vi homem morto boiando na praia.,eu ver homem morto boiar pessoa praia.
"em porto alegre as pessoas têm costume de usar boina, por causa do frio.",porto alegre pessoa costume boina por causa frio.
trouxe bola colorida?,trazer bola colorido?
"ele está chorando, porque a bola sumiu.",ele chorar porque bola sumir.
"nas férias, as crianças sempre se divertem jogando bola de gude.",criança sempre divertir bola de gude férias.
"amanhã vai ter torneio de ping-pong, não se esqueça de trazer a bola.",amanha torneio pingpong esquecer não trazer bola
aquela mulher está nervosa porque quebrou a bola de cristal.,mulher aquele nervoso bola vidro quebrar.
estou com fome. tem bolacha?,eu fome. ter bolacha?
"eu estava distraída, passando a ferro. ele tocou em minha mão e criou uma bolha. que dor!",eu distraído passar ferro. tocar mão acidente bolha mão. dor!
as crianças gostam de brincar de bolha de sabão.,criança gostar brincar bolha sabão.
"eu sou melhor que todos, sempre venço no boliche, que moleza!",eu melhor sempre vencer boliche moleza!
na bolívia existem muitas lhamas.,bolívia lá ter muito lhama.
ele parece paraguaio ou boliviano.,ele parecer paraguaio ou boliviano.
minha irmã gosta de bolo de chocolate!,meu irmo gostar bolo chocolate!
vou comprar bolo amanhã.,bolo eu comprar amanhã.
"minha bolsa já está velha, pois eu a uso todos os dias.",meu bolsa já velho eu todosdias bolsa mesmo.
vou conversar com o diretor da escola e tentar conseguir uma bolsa de estudos para minha filha.,conversar diretor escola tentar conseguir bolsa de estudo meu filho.
o papel que estava no meu bolso sumiu!,papel estar bolso sumir!
anteontem nós três fomos passear no zoológico e foi muito bom!,anteontem nós três passear zoológico bom muito!
este cachorro é bom e obediente.,cachorro esto bom obediente.
vou provar aquela camisa para saber se fica boa ou ruim.,camisa aquele provar vestir bom ruim.
a policia achou uma bomba no banheiro do restaurante.,policia achar bomba deixar banheiro restaurante.
me empresta a bomba de ar.,emprestar bomba de ar.
eu vi na aquela guerra na televisão. os aviões bombardearam durante a madrugada.,eu ver televisao guerra lá. bombardear aviao madrugada.
o vizinho dele trabalha como bombeiro.,vizinho dele trabalhar bombeiro.
estou com vontade de comprar caixa de bombom.,eu vontande comprar caixa bombom.
onde você guardou o bombril?,onde você guardar bombril?
antigamente aquela cidade tinha um bondinho bonito.,antigo lá cidade bondinho bonito.
"eu preciso de um boné, o sol está muito forte.",boné eu precisar sol forte muito.
minha sobrinha quer uma boneca grande.,sobrinho meu querer boneca grande.
seu filho fez um desenho tão bonito!,seu filho desenho bonito!
eu terei bônus de férias no mês que vem.,mêsquevem eu férias bônus.
"rápido, ele fez a operação matemática e fiquei boquiaberto.",ele contar matemática rápido eu boquiaberto.
a amiga dela gosta de admirar a borboleta azul.,amigo dele gostar admirar borboleta azul.
"a bruxa, com raiva, preparou uma bebida que borbulhava no copo.",bruxa raiva fazer laboratório bebida veneno copo borbulhar.
"bordar é dificil, precisa prestar atenção.","bordar difícil, precisar prestar atenção."
minha borracha verde sumiu!,borracha verde meu sumir!
eu estava pintando a parede da minha casa e borrei a camisa.,meu casa eu pintar parede borrar camisa sujo.
todos os dias minha vizinha borrifa contra os mosquitos.,vizinho meu todo dia borrifar contra mosquito.
todo domingo eu vou passear no bosque para respirar o ar.,domingo todo eu passear bosque respirar ar.
os filmes de bangue-bangue sempre mostram botas bonitas.,filme bangbang bota usar sempre.
eu prefiro comprar blusa com botões coloridos.,eu preferir comprar blusa botão colorido.
"o menino encontrou e pegou o passarinho, para botar no ninho com cuidado.",menino encontrar passarinho filhote pegar botar cuidado ninho.
amanhã a galinha bota 3 ovos.,manhã galinha bota ovo 3.
minha casa tem dois botijões de gás.,meu casa ter gás botijão 2.
o primo dele treina o boxe aos sábados.,primo dele treinar boxe todo sábado.
onde está a braçadeira? estava aqui e sumiu.,onde braçadeira? estar aqui sumir.
ela me emprestou a bracelete de prata.,ele 2semprestar bracelete prata.
"meu amigo estava andando de moto, de repente caiu e quebrou o braço.",amigo moto veículo mover de repente veículo cair braço quebrar.
"ele é fraco no braço de ferro, sempre perde.",ele fraco braço de ferro perder sempre.
aquela criança sempre brada à-toa.,criança aquele sempre bradar átoa.
você sabe digitar o braille?,braille você saber?
cadê minha bermuda branca?,cadê bermuda branco meo?
mesmo com a praia de ontem meu filho está branco.,filho praia ontem sol branco mesmo.
hoje de manhã teve um vento brando.,hoje manhã vento brando.
qualquer pessoa precisa respeitar o brasão do brasil.,qualquer pessoa saber ter brasão brasil precisar respeitar.
as regiões do brasil apresentam culturas diversas.,brasil aqui região+ cultura variado.
o computador brasileiro é tão bom quanto o americano.,computador brasileiro bom igual americano.
minha família é de brasília.,meu família la brasília.
"cuidado, aquela casa tem um cachorro bravo que morde.",cuidado casa aquele ter cachorro bravo morder.
estou com pressa de sair. a gente se encontra em breve.,eu pressa sair breve nós dois encontrar.
breve vai estrear um bom filme no cinema perto da minha casa.,filme bom vai breve lá cinema perto meu casa.
a maioria das crianças adora brigadeiro.,criança maioria adorar brigadeiro.
"lá na rua dois homens brigaram, foi horrível.",lá rua homem dois brigar horrível.
aquele chefe brigou comigo à-toa. eu nada fiz.,chefe aquele brigar átoa eu fazer nada.
"quando eu e meu irmão éramos pequenos, sempre brigávamos.",eu irmão meu pequeno sempre nós dois brigar.
eu preciso polir o sapato até brilhar para ir ao casamento.,eu precisar sapato polir brilhar ir casamento.
o cabele dela tem um brilho bonito.,cabele dele brilho bonito.
a criança adorou a brincadeira de ciranda que eu inventei.,criança adorar ontem eu inventar brincadeira ciranda.
seu cachorro é brincalhão e esperto.,seu cachorro brincalhão esperto.
vamos brincar de bola lá na praça?,ir brincar bola lá praça?
aquela mulher idosa tem diversos brincos.,mulher velho aquele brinco ter diverso.
"no natal do ano passado, esqueci de brindar com a família.",natal ano passado eu esquecer brindar família.
"se você comprar cinco cervejas, ganha uma como brinde.",se você comprar 5 cervejas ganhar brinde 1 cerveja.
o querto do meu filho tem muitos brinquedos.,quarto filho brincar diverso muito cheio.
o broche da avó dela é lindo!,broche vovó dele lindo!
o caderno dela tem uma brochura bonita.,caderno dele brochura bonito.
esqueci de comprar brócolos!,esquecer comprar brócolos!
ele sempre dá bronca quando fica nervoso.,ele sempre nervoso bronca.
"não pude sair na chuva, por causa da bronquite.",poder não sair chuva por causa bronquite.
o irmão dele ganhou o terceiro lugar na natação e conquistou a medalha de bronze.,irmão dele ganhar natação terceiro lugar medalha bronze.
a pele daquela mulher tem um bronzeado bonito.,mulher aquele pele bronzeado bonito.
sou proibida de usar bronzeador pois tenho alergia.,bronzeador eu proibido alergia.
amanhã vou à praia e preciso me bronzear para ficar bonita.,amanhã eu ir praia precisar bronzear bonito.
esta planta demora para brotar.,planta esto brotar demorar.
"não gosto dele, porque é bruto.",gostarnão ele bruto.
"se você pintar muito o rosto, vai parecer uma bruxa.",se você pintar rosto muito parecer bruxa.
fico nervoso porque o bruxismo sempre acaba com a escova de dentes.,eu escovadente acabar dente bruxismo nervoso sempre.
"me espere, vou pegar a bucha para lavar o braço.",esperar eu pegar bucha esfregar braço.
a fazenda dele tem dois búfalos.,fazenda dele ter 2 búfalo.
eu o vi bufar de nervosismo.,eu ver ele nervoso bufar.
"na austrália, todas as pessoas adoram brincar de bumerangue.",austrália lá pessoa todo adorar brincar bumeranque.
"fiquei sentado tanto tempo, que minha bunda está doendo.",eu sentado tempotodo bunda doer.
vou comprar um buquê para dar à minha mãe pele seu aniversário.,eu vou comprar buquê dar meu mãe aniversário.
meu carro caiu no buraco e o pneu rasgou.,buraco carro veículo cair pneu rasgar.
"não vou usar esta calça, ela tem um buraco.",eu calça esto usar não buraco.
este burro é seu?,burro esto seo?
às cinco horas de tarde eu busco os meus filhos na escola.,hora 5 tarde eu buscar filho escola.
o tio dela tem uma bússola antiga.,tio dele ter bússola antigo.
"anteontem eu quase atropelei uma pessoa; por sorte, buzinei e ela saiu correndo.",anteontem eu quase veículo atropelar pessoa sorte eu buzinar pessoa correr.
meu nome começa com a letra c.,meu nome começar letra c.
nós encontramos uma cabana na floresta.,árvore cabana nós encontrar.
você esqueceu a bolsa? que cabeça a sua!,esquecer bola? cabeça seo!
"no sábado, ela vai ao cabeleireiro.",sábado próximo cabeleireiro ele ir.
"meu filho tem um cabele bonito, encaracolado.",filho meu cabele bonito cacho muito.
o meu filho nasceu cabeludo.,filho meu nascer cabeludo.
o elevador está cheio mas cabe mais uma pessoa.,elevador cheio pessoa só 1 caber.
não cabe a você pegar biscoito em cima do armário.,armário cima você nãocaber pegar biscoito.
"meu armário tem poucos cabides, prewciso comprar mais.",armário meu cabide pouco precisar comprar mais.
ele sempre anda cabisbaixo.,ele cabisbaixo sempre.
o cabo da vassoura quebrou e precisa comprar outro.,vassoura cabo quebrar precisar comprar outro.
meu sobrinho é cabo da marinha.,sobrinho meu cabo marinha.
o leite de cabra é forte e bom para a saúde.,cabra leite bom saúde forte.
há muitos cabritos no sítio do meu avô.,sítio vovo lá cabrito muito.
"no canadá, o caçador sempre caça veados.",canadá caçador sempre caçar veado.
na áfrica agora é proibido caçar elefantes.,áfrica agora proibido elefante caçar.
"todo dia, pela manhã, o galo cacareja.",manhã todo dia galo cacarejar.
na bahia tem muito cacau.,lugar bahia cacau muito.
"antes eu bebia muita cachaça, mas agora eu parei de beber.",passado eu cachaça beber muito agora parar.
"minha avó comprou, na europa, um cachecol lindo.",europa vovo comprar cachecol lindo.
eu comprei um cachimbo lindo.,cachimbo lindo eu comprar.
aquela menina tem lindos cachos de cabelo!,menino aquele cacho de cabelo bonito muito!
eu adoro cachoeiras e sempre vou para alguma.,cachoeira eu adorar sempre frequentar.
"estou triste, porque meu cachorro sumiu.",eu triste cachorro meu sumir.
eu não gosto de cachorro-quente.,cachorroquente eu gostarnão.
os meninos do colégio caçoam do menino baixo e gordo. ele fica triste.,menino coitado escola pessoa caçoar baixo gordo ele triste.
tenho dois filhos e uma filha que é a caçula.,filho meu dois homem uma mulher caçula.
cada pessoa tem uma vida diferente.,pessoa cada vida diferente
divida um pedaço do bolo para cada um!,bolo dividir cada!
"o cadarço de meu sapato está velho, vou comprar um novo.",sapato cadarço velho eu comprar novo.
a faculdade de medicina precisa de cadáveres para experiências e pesquisas.,"medicina faculdade morrer corpo precisar, experiência pesquisar."
cadê o biscoito de chocolate? estou com vontade de comer.,biscoito chocolate cadê? eu vontade comer.
o portão da minha casa está com um cadeado velho.,casa meu portão cadeado velho.
"ontem vi pela televisão, uma briga na cadeia.",televisão ontem cadeia briga.